Data;Último;Abertura;Máxima;Mínima;Var%
04/01/2017;3,2163000;3,2517000;3,2517000;3,2100000;-0,0150000
03/01/2017;3,2652000;3,2824000;3,2929000;3,2466000;-0,0062000
02/01/2017;3,2857000;3,2538000;3,2887000;3,2516000;0,0095000
30/12/2016;3,2547000;3,2547000;3,2547000;3,2547000;0,0000000
29/12/2016;3,2547000;3,2825000;3,2835000;3,2416000;-0,0091000
28/12/2016;3,2845000;3,2702000;3,2959000;3,2630000;0,0041000
27/12/2016;3,2712000;3,2775000;3,2913000;3,2686000;-0,0018000
26/12/2016;3,2770000;3,2715000;3,2861000;3,2642000;0,0018000
23/12/2016;3,2710000;3,2870000;3,2932000;3,2575000;-0,0050000
22/12/2016;3,2875000;3,3280000;3,3486000;3,2861000;-0,0119000
21/12/2016;3,3270000;3,3575000;3,3575000;3,3217000;-0,0082000
20/12/2016;3,3546000;3,3655000;3,3790000;3,3403000;-0,0031000
19/12/2016;3,3650000;3,3920000;3,4037000;3,3605000;-0,0080000
16/12/2016;3,3920000;3,3715000;3,4126000;3,3425000;0,0067000
15/12/2016;3,3695000;3,3695000;3,4087000;3,3625000;-0,0003000
14/12/2016;3,3705000;3,3372000;3,3732000;3,3027000;0,0105000
13/12/2016;3,3355000;3,3385000;3,3658000;3,3178000;-0,0010000
12/12/2016;3,3388000;3,3777000;3,4087000;3,3356000;-0,0118000
09/12/2016;3,3785000;3,3765000;3,4124000;3,3525000;0,0009000
08/12/2016;3,3755000;3,3830000;3,4179000;3,3695000;-0,0022000
07/12/2016;3,3830000;3,4080000;3,4201000;3,3761000;-0,0073000
06/12/2016;3,4080000;3,4210000;3,4667000;3,3941000;-0,0039000
05/12/2016;3,4215000;3,4764000;3,4819000;3,4184000;-0,0155000
02/12/2016;3,4755000;3,4705000;3,4928000;3,4440000;0,0011000
01/12/2016;3,4718000;3,3854000;3,4814000;3,3820000;0,0259000
30/11/2016;3,3842000;3,3998000;3,4574000;3,3766000;-0,0044000
29/11/2016;3,3990000;3,3857000;3,4154000;3,3800000;0,0039000
28/11/2016;3,3859000;3,4225000;3,4237000;3,3823000;-0,0106000
25/11/2016;3,4223000;3,3917000;3,4687000;3,3908000;0,0091000
24/11/2016;3,3915000;3,3939000;3,4373000;3,3820000;-0,0009000
23/11/2016;3,3945000;3,3546000;3,4213000;3,3530000;0,0118000
22/11/2016;3,3550000;3,3522000;3,3908000;3,3283000;0,0007000
21/11/2016;3,3525000;3,3838000;3,3847000;3,3405000;-0,0092000
18/11/2016;3,3835000;3,4176000;3,4433000;3,3715000;-0,0105000
17/11/2016;3,4193000;3,4205000;3,4531000;3,3873000;-0,0002000
16/11/2016;3,4200000;3,4400000;3,4452000;3,4033000;-0,0059000
15/11/2016;3,4404000;3,4331000;3,4457000;3,4320000;0,0021000
14/11/2016;3,4331000;3,3932000;3,4755000;3,3893000;0,0123000
11/11/2016;3,3915000;3,3889000;3,5086000;3,3712000;0,0015000
10/11/2016;3,3864000;3,2186000;3,3970000;3,2095000;0,0526000
09/11/2016;3,2172000;3,1695000;3,2502000;3,1650000;0,0150000
08/11/2016;3,1695000;3,2012000;3,2163000;3,1630000;-0,0101000
07/11/2016;3,2020000;3,2348000;3,2366000;3,1885000;-0,0098000
04/11/2016;3,2337000;3,2423000;3,2649000;3,2169000;-0,0027000
03/11/2016;3,2425000;3,2358000;3,2565000;3,2210000;0,0020000
02/11/2016;3,2359000;3,2370000;3,2425000;3,2355000;-0,0002000
01/11/2016;3,2367000;3,1888000;3,2553000;3,1780000;0,0149000
